fecha,flujo,desde,hasta,sub_kpi,valor,fuente,plan,temporalidad
10/24/2024,a,agua_nueva,area_seca,piscina_dl,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_1,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_2,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_3,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_4,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_5,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_6,0,Disco Compartido,Real,Dia
10/24/2024,D,tsf,retencion,relaves,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,total_mina_m3,0,Disco Compartido,Real,Dia
10/24/2024,C,aguas_halladas,control_polvo,total_mina_m3,0,Disco Compartido,Real,Dia
10/24/2024,D,tsf,retencion,w0,0,Disco Compartido,Real,Dia
10/24/2024,c,agua_nueva,control_polvo,agua_a_chancado,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,agua_a_chancado,0,Disco Compartido,Real,Dia
10/24/2024,J,tsf,infiltracion,infiltracion_promedio_final,0,Disco Compartido,Real,Dia
10/24/2024,F,tsf,evaporacion,evaporacion_total,0,Disco Compartido,Real,Dia
10/24/2024,F,tsf,evaporacion,resaturacion_total,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_total_pilas,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_piscina_reservorio,0,Disco Compartido,Real,Dia
10/24/2024,I,agua_nueva,evaporacion,evap_piscina_reservorio_total,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_total_piscinas,0,Disco Compartido,Real,Dia
10/24/2024,E,area_seca,retencion,retencion_hl,0,Disco Compartido,Real,Dia
10/24/2024,E,area_seca,retencion,retencion_dl,0,Disco Compartido,Real,Dia
10/24/2024,E,area_seca,retencion,retencion_ral,0,Disco Compartido,Real,Dia
10/24/2024,E,area_seca,retencion,perdidas_concentrado,0,Disco Compartido,Real,Dia
10/24/2024,j,ptas,control_polvo,potable_m3_mes,0,Disco Compartido,Real,Dia
10/24/2024,i,servicios,ptas,potable_m3_mes,0,Disco Compartido,Real,Dia
10/24/2024,d,agua_nueva,servicios,potable_m3_mes,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,potable_m3_mes,0,Disco Compartido,Real,Dia
10/24/2024,h,sx_ew,area_seca,pls_m3_mes,0,Disco Compartido,Real,Dia
10/24/2024,a,agua_nueva,area_seca,rechazo_total_corregido,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,suministro_a_agua_nueva,0,Disco Compartido,Real,Dia
10/24/2024,C,aguas_halladas,control_polvo,aguas_halladas_a_control_polvo,0,Disco Compartido,Real,Dia
10/24/2024,D,tsf,retencion,tsf_a_retencion,0,Disco Compartido,Real,Dia
10/24/2024,E,area_seca,retencion,area_seca_a_retencion,0,Disco Compartido,Real,Dia
10/24/2024,F,tsf,evaporacion,tsf_a_evaporacion,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,area_seca_a_evaporacion,0,Disco Compartido,Real,Dia
10/24/2024,c,agua_nueva,control_polvo,agua_nueva_a_control_polvo,0,Disco Compartido,Real,Dia
10/24/2024,d,agua_nueva,servicios,agua_nueva_a_servicio,0,Disco Compartido,Real,Dia
10/24/2024,a,agua_nueva,area_seca,agua_nueva_a_area_seca,0,Disco Compartido,Real,Dia
10/24/2024,I,agua_nueva,evaporacion,agua_nueva_a_evaporacion,0,Disco Compartido,Real,Dia
10/24/2024,b,agua_nueva,sx_ew,agua_nueva_a_sx_ew,0,Disco Compartido,Real,Dia
10/24/2024,B,agua_mineral,area_seca,agua_mineral_a_area_seca,0,Disco Compartido,Real,Dia
10/24/2024,g,area_seca,sx_ew,area_seca_a_sx_ew,0,Disco Compartido,Real,Dia
10/24/2024,f,area_seca,tsf,area_seca_a_tsf,0,Disco Compartido,Real,Dia
10/24/2024,j,ptas,control_polvo,ptas_a_control_polvo,0,Disco Compartido,Real,Dia
10/24/2024,i,servicios,ptas,servicios_a_ptas,0,Disco Compartido,Real,Dia
10/24/2024,h,sx_ew,area_seca,sx_ew_a_area_seca,0,Disco Compartido,Real,Dia
10/24/2024,e,tsf,area_seca,tsf_a_area_seca,0,Disco Compartido,Real,Dia
10/24/2024,J,tsf,infiltracion,tsf_a_infiltracion,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,control_polvo_a_evaporacion,0,Disco Compartido,Real,Dia
1/19/2024,f,area_seca,tsf,agua_a_atranque,89146.58,Disco Compartido,Real,Dia
1/19/2024,j,ptas,control_polvo,agua_incendio,23303,Disco Compartido,Real,Dia
1/19/2024,i,servicios,ptas,agua_incendio,23303,Disco Compartido,Real,Dia
1/19/2024,d,agua_nueva,servicios,agua_incendio,23303,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,agua_incendio,23303,Disco Compartido,Real,Dia
1/19/2024,e,tsf,area_seca,agua_recuperada_tranque_relaves,1666,Disco Compartido,Real,Dia
1/19/2024,B,agua_mineral,area_seca,apilado_dl,64.96,Disco Compartido,Real,Dia
1/19/2024,c,agua_nueva,control_polvo,cachimba_mina,1075,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,cachimba_mina,1075,Disco Compartido,Real,Dia
1/19/2024,c,agua_nueva,control_polvo,cerro_las_antena,23303,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,cerro_las_antena,23303,Disco Compartido,Real,Dia
1/19/2024,B,agua_mineral,area_seca,chancado_primario,0,Disco Compartido,Real,Dia
1/19/2024,h,sx_ew,area_seca,demin,93636,Disco Compartido,Real,Dia
1/19/2024,g,area_seca,sx_ew,demin,93636,Disco Compartido,Real,Dia
1/19/2024,b,agua_nueva,sx_ew,demin,93636,Disco Compartido,Real,Dia
1/19/2024,B,agua_mineral,area_seca,humedad_pila,0.5,Disco Compartido,Real,Dia
1/19/2024,a,agua_nueva,area_seca,make_up_fresca_a_tk,127084,Disco Compartido,Real,Dia
1/19/2024,a,agua_nueva,area_seca,piscina_dl,0,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_1,0,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_2,5488.07,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_3,4812,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_4,6230.1,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_5,0,Disco Compartido,Real,Dia
1/19/2024,A,suministro_agua,agua_nueva,pozo_6,0,Disco Compartido,Real,Dia
1/19/2024,D,tsf,retencion,relaves,43232.77,Disco Compartido,Real,Dia
1/19/2024,H,control_polvo,evaporacion,total_mina_m3,734.57,Disco Compartido,Real,Dia
1/19/2024,C,aguas_halladas,control_polvo,total_mina_m3,734.57,Disco Compartido,Real,Dia
1/19/2024,D,tsf,retencion,w0,0.57,Disco Compartido,Real,Dia
1/19/2024,c,agua_nueva,control_polvo,agua_a_chancado,0,Disco Compartido,Real,Dia
